,mAP50,mAP50-95,Precision,Recall
Baseline,0.9033690343278238,0.45668270552088447,0.8426463384505689,0.8826423148068926
Light Augmented,0.9310343432629349,0.4910812146898119,0.8517542142677665,0.9281451709167468
Hard Augmented,0.9417899321496634,0.5029434597974574,0.9116576814239103,0.9054832515468316
