,mAP50,mAP50-95,Precision,Recall
Baseline,0.0,0.0,0.0,0.0
Light Augmented,-4.280611641762569,-2.9081117933299927,-2.5646329849929974,-6.28570648293049
Hard Augmented,3.4948407442833127,4.127185222668491,6.133268132561146,3.8963324488138147
