,mAP50,mAP50-95,Precision,Recall
Baseline,0.0,0.0,0.0,0.0
Light Augmented,3.062459292253273,7.5322557112586725,1.080865767950158,5.1552996436398395
Hard Augmented,4.25306783405829,10.129736405018592,8.189834788843596,2.5877908136475702
